country;date;value;Name
China (Urban) (inc); 1987;0,37979;P90vsP10
China (cons); 2008;0,138;P90vsP10
China (cons); 2012;0,13934;P90vsP10
Colombia (Urban) (inc); 1988;0,0814;P90vsP10
Colombia (Urban) (inc); 1989;0,08777;P90vsP10
Colombia (Urban) (inc); 1991;0,08925;P90vsP10
Colombia (inc); 1992;0,07237;P90vsP10
Colombia (inc); 1996;0,03385;P90vsP10
Colombia (inc); 1999;0,02642;P90vsP10
Colombia (inc); 2000;0,01076;P90vsP10
Colombia (inc); 2001;0,03774;P90vsP10
Colombia (inc); 2002;0,06854;P90vsP10
Colombia (inc); 2003;0,07686;P90vsP10
Colombia (inc); 2004;0,0814;P90vsP10
Colombia (inc); 2005;0,08075;P90vsP10
Colombia (inc); 2008;0,06409;P90vsP10
Colombia (inc); 2009;0,07078;P90vsP10
Colombia (inc); 2010;0,07239;P90vsP10
Colombia (inc); 2011;0,0774;P90vsP10
Colombia (inc); 2012;0,07723;P90vsP10
Colombia (inc); 2013;0,07777;P90vsP10
Colombia (inc); 2014;0,07891;P90vsP10
Colombia (inc); 2015;0,08548;P90vsP10
Colombia (inc); 2016;0,08606;P90vsP10
Comoros (cons); 2004;0,09722;P90vsP10
Comoros (cons); 2014;0,11026;P90vsP10
Congo (cons); 2005;0,12625;P90vsP10
Congo (cons); 2011;0,10292;P90vsP10
Costa Rica (inc); 1981;0,0774;P90vsP10
Costa Rica (inc); 1986;0,12672;P90vsP10
Costa Rica (inc); 1989;0,04725;P90vsP10
Costa Rica (inc); 1990;0,07037;P90vsP10
Costa Rica (inc); 1991;0,07058;P90vsP10
Costa Rica (inc); 1992;0,0774;P90vsP10
Costa Rica (inc); 1993;0,07362;P90vsP10
Costa Rica (inc); 1994;0,07983;P90vsP10
Costa Rica (inc); 1995;0,08051;P90vsP10
Costa Rica (inc); 1996;0,07564;P90vsP10
Costa Rica (inc); 1997;0,0903;P90vsP10
Costa Rica (inc); 1998;0,09499;P90vsP10
Costa Rica (inc); 1999;0,08117;P90vsP10
Costa Rica (inc); 2000;0,0795;P90vsP10
Costa Rica (inc); 2001;0,07268;P90vsP10
Costa Rica (inc); 2002;0,07472;P90vsP10
Costa Rica (inc); 2003;0,07973;P90vsP10
Costa Rica (inc); 2004;0,08788;P90vsP10
Costa Rica (inc); 2005;0,09847;P90vsP10
Costa Rica (inc); 2006;0,09164;P90vsP10
Costa Rica (inc); 2007;0,10104;P90vsP10
Costa Rica (inc); 2008;0,10028;P90vsP10
Costa Rica (inc); 2009;0,08987;P90vsP10
Costa Rica (inc); 2010;0,10421;P90vsP10
Costa Rica (inc); 2011;0,09911;P90vsP10
Costa Rica (inc); 2012;0,09913;P90vsP10
Costa Rica (inc); 2013;0,09713;P90vsP10
Costa Rica (inc); 2014;0,09922;P90vsP10
Costa Rica (inc); 2015;0,09933;P90vsP10
Costa Rica (inc); 2016;0,09892;P90vsP10
Cote d'Ivoire (cons); 1985;0,11821;P90vsP10
Cote d'Ivoire (cons); 1986;0,18668;P90vsP10
Cote d'Ivoire (cons); 1987;0,16063;P90vsP10
Cote d'Ivoire (cons); 1988;0,18357;P90vsP10
Cote d'Ivoire (cons); 1993;0,15669;P90vsP10
Cote d'Ivoire (cons); 1995;0,1731;P90vsP10
Cote d'Ivoire (cons); 1998;0,17126;P90vsP10
Cote d'Ivoire (cons); 2002;0,151;P90vsP10
Cote d'Ivoire (cons); 2008;0,12509;P90vsP10
Cote d'Ivoire (cons); 2015;0,14179;P90vsP10
Croatia (cons); 1998;0,25955;P90vsP10
Croatia (cons); 1999;0,27263;P90vsP10
Croatia (cons); 2000;0,24509;P90vsP10
Croatia (cons); 2001;0,24649;P90vsP10
Croatia (cons); 2004;0,2521;P90vsP10
Croatia (cons); 2008;0,21862;P90vsP10
Croatia (cons); 2009;0,22036;P90vsP10
Croatia (cons); 2010;0,28393;P90vsP10
Croatia (inc); 1988;0,33214;P90vsP10
Croatia (inc); 2009;0,18774;P90vsP10
Croatia (inc); 2010;0,1828;P90vsP10
Croatia (inc); 2011;0,18736;P90vsP10
Croatia (inc); 2012;0,18876;P90vsP10
Croatia (inc); 2013;0,19257;P90vsP10
Croatia (inc); 2014;0,19328;P90vsP10
Croatia (inc); 2015;0,20357;P90vsP10
Cyprus (inc); 2004;0,25627;P90vsP10
Cyprus (inc); 2005;0,26094;P90vsP10
Cyprus (inc); 2006;0,25195;P90vsP10
Cyprus (inc); 2007;0,25269;P90vsP10
Cyprus (inc); 2008;0,24739;P90vsP10
Cyprus (inc); 2009;0,23808;P90vsP10
Cyprus (inc); 2010;0,24377;P90vsP10
Cyprus (inc); 2011;0,23074;P90vsP10
Cyprus (inc); 2012;0,21808;P90vsP10
Cyprus (inc); 2013;0,20126;P90vsP10
Cyprus (inc); 2014;0,20051;P90vsP10
Cyprus (inc); 2015;0,21536;P90vsP10
Czech Republic (inc); 1993;0,31524;P90vsP10
Czech Republic (inc); 1996;0,30434;P90vsP10
Czech Republic (inc); 2004;0,25937;P90vsP10
Czech Republic (inc); 2005;0,27165;P90vsP10
Czech Republic (inc); 2006;0,27077;P90vsP10
Czech Republic (inc); 2007;0,28463;P90vsP10
Czech Republic (inc); 2008;0,2807;P90vsP10
Czech Republic (inc); 2009;0,27902;P90vsP10
Czech Republic (inc); 2010;0,27141;P90vsP10
Czech Republic (inc); 2011;0,27222;P90vsP10
Czech Republic (inc); 2012;0,28356;P90vsP10
Czech Republic (inc); 2013;0,27453;P90vsP10
Czech Republic (inc); 2014;0,28178;P90vsP10
Czech Republic (inc); 2015;0,28198;P90vsP10
Democratic Republic of Congo (cons); 2005;0,14603;P90vsP10
Democratic Republic of Congo (cons); 2012;0,14056;P90vsP10
Denmark (inc); 2003;0,29491;P90vsP10
Denmark (inc); 2004;0,30333;P90vsP10
Denmark (inc); 2005;0,29701;P90vsP10
Denmark (inc); 2006;0,29365;P90vsP10
Denmark (inc); 2007;0,28683;P90vsP10
Denmark (inc); 2008;0,29647;P90vsP10
Denmark (inc); 2009;0,26331;P90vsP10
Denmark (inc); 2010;0,27075;P90vsP10
Denmark (inc); 2011;0,27011;P90vsP10
Denmark (inc); 2012;0,26332;P90vsP10
Denmark (inc); 2013;0,25451;P90vsP10
Denmark (inc); 2014;0,24889;P90vsP10
Denmark (inc); 2015;0,26299;P90vsP10
Djibouti (cons); 2002;0,15551;P90vsP10
Djibouti (cons); 2012;0,08854;P90vsP10
Djibouti (cons); 2013;0,11553;P90vsP10
Dominican Republic (inc); 1986;0,09412;P90vsP10
Dominican Republic (inc); 1989;0,10705;P90vsP10
Dominican Republic (inc); 1992;0,10297;P90vsP10
Dominican Republic (inc); 1996;0,09902;P90vsP10
Dominican Republic (inc); 1997;0,0886;P90vsP10
Dominican Republic (inc); 2000;0,0811;P90vsP10
Dominican Republic (inc); 2001;0,09663;P90vsP10
Dominican Republic (inc); 2002;0,08464;P90vsP10
Dominican Republic (inc); 2003;0,08696;P90vsP10
Dominican Republic (inc); 2004;0,09203;P90vsP10
Dominican Republic (inc); 2005;0,09816;P90vsP10
Dominican Republic (inc); 2006;0,0946;P90vsP10
Dominican Republic (inc); 2007;0,10539;P90vsP10
Dominican Republic (inc); 2008;0,11338;P90vsP10
Dominican Republic (inc); 2009;0,11095;P90vsP10
Dominican Republic (inc); 2010;0,11916;P90vsP10
Dominican Republic (inc); 2011;0,1154;P90vsP10
Dominican Republic (inc); 2012;0,12378;P90vsP10
Dominican Republic (inc); 2013;0,12292;P90vsP10
Dominican Republic (inc); 2014;0,12862;P90vsP10
Dominican Republic (inc); 2015;0,12529;P90vsP10
Dominican Republic (inc); 2016;0,12293;P90vsP10
Ecuador (Urban) (inc); 1995;0,06777;P90vsP10
Ecuador (inc); 1987;0,07159;P90vsP10
Ecuador (inc); 1994;0,06144;P90vsP10
Ecuador (inc); 1998;0,08566;P90vsP10
Ecuador (inc); 1999;0,05138;P90vsP10
Ecuador (inc); 2000;0,06362;P90vsP10
Ecuador (inc); 2003;0,07177;P90vsP10
Ecuador (inc); 2004;0,06686;P90vsP10
Ecuador (inc); 2005;0,07147;P90vsP10
Ecuador (inc); 2006;0,08377;P90vsP10
Ecuador (inc); 2007;0,07586;P90vsP10
Ecuador (inc); 2008;0,08552;P90vsP10
Ecuador (inc); 2009;0,09329;P90vsP10
Ecuador (inc); 2010;0,09588;P90vsP10
